127.0.0.1 -- [2021-11-14 14:47:43,613]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:47:43,823]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:47:44,044]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:47:44,047]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:47:44,104]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:49:39,281]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:49:39,281]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:56:36,727]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:56:36,892]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:56:37,178]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:56:37,391]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:56:37,563]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:56:37,580]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:56:37,631]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:58:32,854]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:58:32,855]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:00:21,679]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:00:21,820]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:00:22,134]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:00:22,346]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:00:22,551]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:00:22,571]:  "GET /index.html HTTP/1.1" 304 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:00:22,615]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:02:18,523]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:02:18,524]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

